"Date","Price","Open","High","Low","Vol.","Change %"
"12/23/2022","230.00","230.60","235.00","230.00","618.82K","-0.09%"
"12/22/2022","230.20","234.00","239.40","230.20","557.63K","0.09%"
"12/21/2022","230.00","230.80","235.00","230.00","601.43K","-0.35%"
"12/20/2022","230.80","235.00","235.00","229.60","686.65K","-1.79%"
"12/19/2022","235.00","230.00","237.80","229.00","849.11K","1.73%"
"12/16/2022","231.00","233.00","235.00","230.20","1.18M","-0.86%"
"12/15/2022","233.00","233.80","238.00","231.80","689.56K","-0.34%"
"12/14/2022","233.80","236.00","240.60","233.40","1.18M","-0.51%"
"12/13/2022","235.00","244.00","246.00","234.00","1.77M","-2.89%"
"12/12/2022","242.00","237.00","245.80","237.00","696.67K","2.20%"
"12/09/2022","236.80","237.60","239.80","232.00","1.10M","-0.08%"
"12/07/2022","237.00","246.40","246.40","236.60","860.66K","-3.89%"
"12/06/2022","246.60","239.80","246.80","236.40","1.21M","4.31%"
"12/05/2022","236.40","237.00","243.80","236.40","858.88K","-0.25%"
"12/02/2022","237.00","242.00","246.60","237.00","797.74K","-1.50%"
"12/01/2022","240.60","248.40","252.40","239.80","2.42M","-1.80%"
"11/29/2022","245.00","249.00","249.00","241.60","4.93M","-1.61%"
"11/28/2022","249.00","252.00","255.20","248.80","974.87K","-1.19%"
"11/25/2022","252.00","253.60","255.60","250.40","862.06K","-0.79%"
"11/24/2022","254.00","256.00","259.00","253.60","859.18K","-0.78%"
"11/23/2022","256.00","257.00","259.60","252.40","1.10M","0.00%"
"11/22/2022","256.00","251.80","259.00","250.20","1.88M","1.59%"
"11/21/2022","252.00","244.00","252.00","244.00","2.29M","3.28%"
"11/18/2022","244.00","243.00","247.00","241.60","1.00M","0.83%"
"11/17/2022","242.00","243.00","243.00","239.80","670.31K","-0.41%"
"11/16/2022","243.00","248.00","248.00","238.00","1.31M","-2.02%"
"11/15/2022","248.00","243.20","248.00","242.40","907.24K","0.08%"
"11/14/2022","247.80","239.60","247.80","238.60","1.16M","3.94%"
"11/11/2022","238.40","236.00","241.40","233.60","923.63K","2.32%"
"11/10/2022","233.00","235.40","235.60","230.60","676.11K","0.00%"
"11/09/2022","233.00","229.80","235.60","229.20","390.42K","1.92%"
"11/08/2022","228.60","230.00","236.00","226.00","725.61K","-0.17%"
"11/07/2022","229.00","228.00","230.60","224.20","732.88K","0.35%"
"11/04/2022","228.20","228.40","230.00","225.00","361.28K","0.09%"
"11/03/2022","228.00","227.00","231.00","227.00","365.09K","0.53%"
"11/02/2022","226.80","233.60","233.80","225.60","619.72K","-2.24%"
"10/28/2022","232.00","232.00","232.40","230.60","355.44K","0.00%"
"10/27/2022","232.00","229.00","233.40","227.20","386.33K","1.31%"
"10/26/2022","229.00","225.40","230.00","224.80","249.99K","1.69%"
"10/25/2022","225.20","224.60","227.00","224.20","438.15K","0.18%"
"10/24/2022","224.80","229.00","230.60","224.80","653.56K","-0.27%"
"10/21/2022","225.40","230.40","232.20","225.00","511.65K","-2.17%"
"10/20/2022","230.40","234.60","237.00","228.00","650.36K","-1.96%"
"10/19/2022","235.00","232.40","239.00","231.00","570.59K","1.03%"
"10/18/2022","232.60","234.00","235.00","232.00","429.84K","0.26%"
"10/17/2022","232.00","230.00","235.00","230.00","469.00K","0.43%"
"10/14/2022","231.00","232.00","233.00","230.40","317.67K","-0.26%"
"10/13/2022","231.60","233.00","233.00","230.00","574.65K","-0.60%"
"10/12/2022","233.00","233.00","233.00","230.40","1.12M","0.00%"
"10/11/2022","233.00","227.00","236.00","227.00","610.07K","2.19%"
"10/10/2022","228.00","231.00","234.40","228.00","248.74K","-1.30%"
"10/07/2022","231.00","235.00","238.00","231.00","791.05K","-1.62%"
"10/06/2022","234.80","236.60","240.00","232.20","497.42K","-1.34%"
"10/05/2022","238.00","240.60","242.00","236.40","1.10M","-0.83%"
"10/04/2022","240.00","236.00","241.00","236.00","698.15K","2.48%"
"10/03/2022","234.20","233.20","234.60","230.40","619.30K","2.27%"
"09/30/2022","229.00","233.00","233.00","228.00","593.84K","-2.14%"
"09/29/2022","234.00","229.00","235.00","229.00","898.83K","2.45%"
"09/28/2022","228.40","229.00","229.00","224.00","651.35K","-0.26%"
"09/27/2022","229.00","235.00","235.00","228.00","801.24K","-2.97%"
"09/23/2022","236.00","237.00","237.00","235.00","551.59K","-0.42%"
"09/22/2022","237.00","237.00","237.00","234.60","788.57K","-0.42%"
"09/21/2022","238.00","244.00","244.00","237.20","1.07M","-2.46%"
"09/20/2022","244.00","246.00","246.00","243.00","567.38K","0.83%"
"09/19/2022","242.00","250.00","250.00","242.00","470.65K","-3.20%"
"09/16/2022","250.00","246.80","250.00","243.00","920.20K","1.05%"
"09/15/2022","247.40","242.60","247.40","242.00","1.06M","1.06%"
"09/14/2022","244.80","243.20","244.80","241.20","264.57K","-0.89%"
"09/13/2022","247.00","245.20","247.00","241.00","189.92K","0.24%"
"09/12/2022","246.40","246.00","246.80","245.20","329.58K","0.16%"
"09/09/2022","246.00","247.80","247.80","245.20","134.10K","-0.73%"
"09/08/2022","247.80","244.00","249.20","243.60","697.07K","1.39%"
"09/07/2022","244.40","247.60","247.60","244.00","1.00M","-1.29%"
"09/06/2022","247.60","248.80","248.80","246.00","464.32K","-0.48%"
"09/05/2022","248.80","247.00","249.40","247.00","993.36K","1.22%"
"09/02/2022","245.80","240.00","246.00","240.00","1.28M","2.50%"
"09/01/2022","239.80","239.60","239.80","236.40","270.89K","0.08%"
"08/31/2022","239.60","240.00","240.00","237.80","412.67K","-0.17%"
"08/30/2022","240.00","233.00","240.00","233.00","684.81K","1.27%"
"08/26/2022","237.00","234.00","237.00","229.20","638.47K","1.28%"
"08/25/2022","234.00","233.80","237.80","232.40","486.53K","1.30%"
"08/24/2022","231.00","231.00","234.80","229.00","473.88K","0.00%"
"08/23/2022","231.00","233.00","233.40","225.40","468.03K","-0.86%"
"08/22/2022","233.00","230.00","236.80","230.00","466.88K","2.19%"
"08/19/2022","228.00","233.60","234.80","228.00","371.68K","-2.40%"
"08/18/2022","233.60","227.00","233.60","227.00","440.88K","2.91%"
"08/17/2022","227.00","235.00","235.00","227.00","709.30K","-4.38%"
"08/16/2022","237.40","233.00","237.40","231.40","673.47K","1.80%"
"08/15/2022","233.20","231.20","233.60","230.00","729.12K","0.52%"
"08/12/2022","232.00","231.20","235.00","227.00","562.25K","-0.43%"
"08/11/2022","233.00","216.80","233.00","216.80","1.61M","6.88%"
"08/10/2022","218.00","218.80","218.80","216.40","212.72K","-0.46%"
"08/09/2022","219.00","215.00","219.00","214.80","449.31K","1.96%"
"08/08/2022","214.80","215.00","216.00","212.80","448.75K","0.00%"
"08/05/2022","214.80","212.00","216.40","212.00","963.46K","1.13%"
"08/04/2022","212.40","210.00","212.80","207.80","290.99K","0.66%"
"08/03/2022","211.00","205.80","211.00","205.80","381.51K","2.93%"
"08/02/2022","205.00","205.40","207.40","204.80","322.11K","-0.19%"
"08/01/2022","205.40","202.00","208.40","202.00","488.74K","2.09%"
"07/29/2022","201.20","207.00","207.00","199.30","593.94K","-2.80%"
"07/28/2022","207.00","205.80","208.40","205.40","339.07K","1.57%"
"07/27/2022","203.80","205.40","206.00","201.20","363.49K","-1.16%"
"07/26/2022","206.20","207.20","207.20","205.60","345.02K","-0.48%"
"07/25/2022","207.20","210.60","210.60","206.60","155.21K","-1.61%"
"07/22/2022","210.60","214.00","214.00","210.00","134.00K","-1.59%"
"07/21/2022","214.00","213.00","215.80","210.00","299.68K","0.56%"
"07/20/2022","212.80","210.40","214.00","210.40","348.27K","1.24%"
"07/19/2022","210.20","212.40","212.40","209.60","254.01K","-1.04%"
"07/18/2022","212.40","213.80","213.80","211.00","178.52K","-1.67%"
"07/15/2022","216.00","212.00","216.00","209.00","282.76K","1.50%"
"07/14/2022","212.80","212.00","212.80","210.40","298.74K","0.09%"
"07/13/2022","212.60","213.00","214.60","207.00","390.49K","0.09%"
"07/12/2022","212.40","214.00","214.00","211.80","172.23K","-0.75%"
"07/11/2022","214.00","216.80","216.80","210.80","248.71K","-1.38%"
"07/08/2022","217.00","205.20","217.00","205.00","646.24K","5.85%"
"07/07/2022","205.00","208.00","210.60","202.20","428.74K","-0.97%"
"07/06/2022","207.00","201.20","207.80","201.20","416.66K","3.09%"
"07/05/2022","200.80","203.00","203.00","200.20","184.47K","-1.18%"
"07/04/2022","203.20","205.00","205.00","201.00","551.77K","-0.88%"
"07/01/2022","205.00","203.60","205.00","200.00","696.04K","0.69%"
"06/30/2022","203.60","202.40","204.00","199.00","506.63K","0.79%"
"06/29/2022","202.00","200.80","203.00","200.80","631.01K","1.00%"
"06/28/2022","200.00","200.80","201.00","198.50","621.47K","0.00%"
"06/27/2022","200.00","200.00","202.00","200.00","385.98K","0.00%"
"06/24/2022","200.00","193.00","200.00","192.90","521.90K","3.63%"
"06/23/2022","193.00","195.00","195.60","192.60","368.49K","-1.03%"
"06/22/2022","195.00","196.90","197.90","195.00","467.36K","-0.91%"
"06/21/2022","196.80","197.00","198.80","194.50","487.41K","0.41%"
"06/20/2022","196.00","195.00","196.00","192.00","409.95K","2.08%"
"06/17/2022","192.00","198.20","198.20","192.00","852.32K","-4.10%"
"06/16/2022","200.20","199.00","202.60","197.00","325.76K","0.60%"
"06/15/2022","199.00","199.50","203.60","199.00","540.08K","-0.25%"
"06/14/2022","199.50","199.80","200.00","196.80","372.01K","-0.55%"
"06/13/2022","200.60","202.00","203.20","197.40","696.69K","-0.20%"
"06/10/2022","201.00","208.60","208.60","201.00","597.54K","-3.83%"
"06/09/2022","209.00","209.60","209.60","206.00","313.03K","-0.57%"
"06/08/2022","210.20","204.00","210.20","202.60","575.81K","3.55%"
"06/07/2022","203.00","201.20","205.80","201.20","450.56K","0.89%"
"06/06/2022","201.20","206.40","207.60","200.40","1.12M","-2.52%"
"06/03/2022","206.40","208.00","208.00","205.80","610.49K","-0.77%"
"06/02/2022","208.00","208.60","210.60","207.40","369.03K","-0.29%"
"06/01/2022","208.60","209.60","210.00","208.40","564.92K","-0.38%"
"05/31/2022","209.40","210.60","210.60","208.60","2.61M","-0.57%"
"05/30/2022","210.60","213.00","213.00","209.60","916.63K","-1.13%"
"05/27/2022","213.00","214.00","216.00","212.00","798.06K","0.00%"
"05/26/2022","213.00","210.40","213.00","210.00","1.20M","1.24%"
"05/25/2022","210.40","208.00","211.40","207.60","300.51K","1.15%"
"05/24/2022","208.00","210.00","210.00","207.40","249.87K","-0.95%"
"05/23/2022","210.00","212.40","214.60","210.00","409.30K","-1.13%"
"05/20/2022","212.40","210.00","214.00","210.00","510.50K","1.14%"
"05/19/2022","210.00","213.40","213.40","208.00","649.61K","-1.04%"
"05/18/2022","212.20","207.20","213.20","207.00","1.00M","2.51%"
